# Residuals   
# Time        	p             	Ux            	Uy            
5.5           	N/A	N/A
5.51613       	2.384880e-01	6.453821e-03	9.411015e-03
5.53341       	2.550515e-01	6.301739e-03	7.125878e-03
5.55069       	5.454778e-02	6.842102e-03	7.127474e-03
5.56797       	3.235095e-02	6.659719e-03	6.897044e-03
5.58525       	2.492762e-02	6.657958e-03	6.864006e-03
5.60253       	2.431053e-02	6.642401e-03	6.846142e-03
5.61982       	3.372688e-02	6.686295e-03	6.946312e-03
5.6371        	3.069159e-02	6.780699e-03	7.024247e-03
5.65438       	2.935972e-02	6.772758e-03	7.055060e-03
5.67166       	2.827812e-02	6.913191e-03	7.094495e-03
5.68894       	2.972391e-02	6.891612e-03	7.095463e-03
5.70622       	2.625816e-02	6.839387e-03	7.054223e-03
5.7235        	2.736989e-02	6.737223e-03	6.922751e-03
5.74078       	2.714917e-02	6.750023e-03	6.911413e-03
5.75806       	2.817663e-02	6.857726e-03	6.952067e-03
5.77535       	2.941484e-02	6.922536e-03	6.989956e-03
5.79263       	3.882038e-02	6.999291e-03	7.122746e-03
5.80991       	2.906964e-02	7.231972e-03	7.230587e-03
5.82719       	2.402051e-02	7.138401e-03	7.133075e-03
5.84447       	2.481024e-02	7.073939e-03	7.077656e-03
5.86175       	3.809188e-02	7.131430e-03	7.253555e-03
5.87903       	3.974988e-02	7.350830e-03	7.547984e-03
5.89631       	2.875175e-02	7.078337e-03	7.336250e-03
5.91359       	2.831281e-02	6.864529e-03	7.057632e-03
5.93088       	3.965317e-02	6.854239e-03	7.120691e-03
5.94816       	3.305696e-02	7.145114e-03	7.291339e-03
5.96544       	3.265597e-02	6.945006e-03	7.147362e-03
5.98272       	3.553747e-02	6.932867e-03	7.116729e-03
6             	4.321694e-02	6.954839e-03	7.094320e-03
6.01724       	3.371389e-02	7.228609e-03	7.156462e-03
6.03448       	3.097695e-02	7.157801e-03	7.048991e-03
6.05111       	4.261049e-02	6.780899e-03	6.909547e-03
6.06773       	3.473119e-02	7.197333e-03	6.871390e-03
6.08436       	3.923834e-02	6.841932e-03	6.722969e-03
6.10035       	3.789576e-02	6.692259e-03	6.722040e-03
6.11633       	3.691555e-02	6.726466e-03	6.744238e-03
6.13232       	3.622173e-02	6.538109e-03	6.601976e-03
6.14764       	5.014465e-02	6.404819e-03	6.571520e-03
6.16296       	4.755083e-02	6.920166e-03	6.767009e-03
6.17761       	3.988707e-02	6.412823e-03	6.392305e-03
6.19163       	3.404425e-02	6.267323e-03	6.101355e-03
6.20504       	3.066513e-02	6.006077e-03	5.836744e-03
6.21786       	2.622554e-02	5.709788e-03	5.554135e-03
6.23013       	3.510076e-02	5.488580e-03	5.326758e-03
