# Residuals   
# Time        	p             	Ux            	Uy            
0             	N/A	N/A
6.36607       	6.709026e-02	1.756815e-02	1.939480e-02
6.41071       	5.620344e-02	1.771803e-02	1.854885e-02
6.44048       	1.145599e-01	1.179070e-02	1.847491e-02
6.47024       	9.291295e-02	1.878728e-02	1.804691e-02
6.5           	6.492870e-02	1.375636e-02	1.512335e-02
6.53333       	8.840101e-02	1.606943e-02	1.823467e-02
6.56923       	5.166135e-02	1.638828e-02	1.595133e-02
6.60513       	5.294541e-02	1.521239e-02	1.534322e-02
6.64103       	4.584856e-02	1.503504e-02	1.546500e-02
6.67692       	3.643399e-02	1.516960e-02	1.543630e-02
6.70923       	7.223314e-02	1.423512e-02	1.542021e-02
6.74154       	5.817175e-02	1.645957e-02	1.579837e-02
6.77385       	4.452060e-02	1.495551e-02	1.469792e-02
6.80615       	3.839964e-02	1.501606e-02	1.494999e-02
6.83846       	3.510109e-02	1.514263e-02	1.481480e-02
6.86538       	8.240251e-02	1.281057e-02	1.467392e-02
6.89231       	7.465607e-02	1.541295e-02	1.496808e-02
6.91923       	4.863109e-02	1.425471e-02	1.462956e-02
6.94615       	3.963605e-02	1.424710e-02	1.445541e-02
6.97308       	4.095678e-02	1.396685e-02	1.397953e-02
7             	4.007201e-02	1.399868e-02	1.404589e-02
7.02941       	4.303941e-02	1.571830e-02	1.518656e-02
7.05882       	4.236422e-02	1.478789e-02	1.467837e-02
7.08824       	4.046017e-02	1.491284e-02	1.456101e-02
7.11569       	4.924458e-02	1.332845e-02	1.371156e-02
7.14314       	4.522544e-02	1.417314e-02	1.395605e-02
7.17059       	4.496086e-02	1.418616e-02	1.423684e-02
7.19804       	4.485823e-02	1.468940e-02	1.449517e-02
7.22549       	4.039438e-02	1.443317e-02	1.445872e-02
7.25294       	4.072177e-02	1.401411e-02	1.414311e-02
7.28039       	5.333131e-02	1.379472e-02	1.419871e-02
7.30479       	6.195084e-02	1.286317e-02	1.375281e-02
7.32919       	4.722109e-02	1.433042e-02	1.420342e-02
7.35359       	4.074747e-02	1.337687e-02	1.381242e-02
7.378         	3.876771e-02	1.319366e-02	1.358941e-02
7.4024        	4.281886e-02	1.321133e-02	1.347340e-02
7.4268        	4.902700e-02	1.358676e-02	1.393427e-02
7.4512        	5.665170e-02	1.365205e-02	1.426725e-02
7.4756        	4.453172e-02	1.343262e-02	1.433321e-02
7.4878        	2.053144e-01	6.902022e-03	1.126995e-02
7.5           	1.478213e-01	1.204878e-02	1.138812e-02
7.51429       	9.729670e-02	9.674699e-03	1.026414e-02
7.53048       	6.391034e-02	1.068615e-02	1.116053e-02
7.54853       	5.909148e-02	1.174211e-02	1.203892e-02
7.56816       	4.728106e-02	1.195753e-02	1.237626e-02
7.58976       	4.185830e-02	1.262079e-02	1.300562e-02
7.61255       	5.835758e-02	1.286823e-02	1.351253e-02
7.63534       	7.961797e-02	1.291400e-02	1.395815e-02
7.65679       	7.519307e-02	1.277414e-02	1.342084e-02
7.67824       	6.118899e-02	1.311326e-02	1.303903e-02
7.69969       	5.789018e-02	1.260624e-02	1.279254e-02
7.72114       	5.388847e-02	1.293623e-02	1.286670e-02
7.74438       	6.966187e-02	1.378301e-02	1.374510e-02
7.76762       	7.232036e-02	1.285146e-02	1.354509e-02
7.79086       	5.689053e-02	1.340225e-02	1.325924e-02
7.81177       	6.882899e-02	1.179013e-02	1.236752e-02
7.83268       	6.483699e-02	1.218014e-02	1.214438e-02
7.8536        	5.880202e-02	1.192033e-02	1.179367e-02
7.87451       	6.797197e-02	1.230984e-02	1.212282e-02
7.89244       	7.847443e-02	1.077539e-02	1.102300e-02
7.91037       	6.677236e-02	1.111265e-02	1.071888e-02
7.92829       	5.343991e-02	1.035151e-02	1.013349e-02
7.94622       	4.602937e-02	1.018234e-02	9.789172e-03
7.96415       	6.756054e-02	1.004900e-02	9.936567e-03
7.98207       	6.353647e-02	1.039870e-02	1.031949e-02
8             	5.003523e-02	1.059891e-02	1.001050e-02
8.01724       	6.698949e-02	9.880572e-03	9.467878e-03
8.03448       	6.484308e-02	9.634296e-03	9.603050e-03
8.05111       	5.338572e-02	9.099034e-03	9.179348e-03
8.06773       	8.254318e-02	9.105053e-03	9.404559e-03
8.08374       	5.511515e-02	9.589878e-03	9.300140e-03
8.09975       	5.050089e-02	9.402482e-03	9.047211e-03
8.11576       	5.123688e-02	9.065661e-03	8.640250e-03
8.13177       	4.768373e-02	8.714697e-03	8.319416e-03
8.14778       	5.191096e-02	8.680324e-03	8.246992e-03
8.16379       	7.651323e-02	8.877125e-03	8.771490e-03
8.1806        	5.736514e-02	1.002791e-02	9.254678e-03
8.19741       	5.713751e-02	9.646095e-03	8.981576e-03
8.21422       	6.033830e-02	9.180207e-03	8.696257e-03
8.23209       	6.005152e-02	9.595908e-03	9.044748e-03
8.24995       	8.868374e-02	9.545869e-03	9.737928e-03
8.26781       	6.929979e-02	1.036798e-02	1.009449e-02
8.28567       	9.040121e-02	9.969344e-03	9.920771e-03
8.30515       	8.460152e-02	1.057869e-02	1.025764e-02
8.32464       	6.659501e-02	1.026769e-02	1.011550e-02
8.34412       	9.576726e-02	1.027614e-02	1.056788e-02
8.36361       	6.914574e-02	1.100847e-02	1.026872e-02
8.38309       	7.972266e-02	1.019404e-02	1.008341e-02
8.40258       	5.940508e-02	1.004435e-02	9.848590e-03
8.42206       	6.720148e-02	9.995730e-03	9.773436e-03
8.44155       	9.627136e-02	1.031135e-02	1.064331e-02
8.46103       	9.852781e-02	1.108187e-02	1.041157e-02
8.48052       	7.705412e-02	1.014873e-02	1.009619e-02
8.5           	6.518616e-02	9.797792e-03	9.765143e-03
8.52174       	7.167985e-02	1.084301e-02	1.033465e-02
8.54451       	9.216603e-02	1.095165e-02	1.133582e-02
8.56729       	1.034020e-01	1.157119e-02	1.113855e-02
8.59006       	8.057474e-02	1.094047e-02	1.106244e-02
8.61164       	9.944175e-02	1.016876e-02	1.131724e-02
8.63321       	8.393811e-02	1.101253e-02	1.074949e-02
8.65479       	7.664133e-02	1.039650e-02	1.006516e-02
8.67636       	6.031741e-02	1.022777e-02	9.746268e-03
8.69794       	5.828633e-02	1.015535e-02	9.625294e-03
8.71952       	8.849196e-02	1.053737e-02	1.105987e-02
8.74109       	1.049757e-01	1.050551e-02	1.006443e-02
8.76267       	8.371924e-02	9.523451e-03	9.890310e-03
8.78424       	6.612312e-02	9.340695e-03	9.438800e-03
8.80582       	6.180076e-02	9.317456e-03	9.110685e-03
8.82739       	4.436805e-02	9.406485e-03	9.072647e-03
8.84897       	4.820952e-02	9.272930e-03	8.933168e-03
8.87055       	8.870882e-02	9.340686e-03	1.038792e-02
8.89212       	7.809066e-02	9.348088e-03	9.581474e-03
8.9137        	6.699198e-02	8.890022e-03	9.489084e-03
8.93527       	5.600554e-02	8.703351e-03	9.232972e-03
8.95685       	5.302341e-02	8.591939e-03	8.996732e-03
8.97842       	5.848573e-02	8.619054e-03	9.068477e-03
9             	1.031294e-01	8.838255e-03	1.006791e-02
9.02273       	1.070195e-01	9.701236e-03	1.067546e-02
9.04545       	7.979531e-02	8.614319e-03	1.018801e-02
9.0671        	6.970557e-02	8.188448e-03	9.715610e-03
9.08874       	6.130976e-02	8.156102e-03	9.347222e-03
9.11039       	6.808489e-02	7.859035e-03	9.304016e-03
9.1309        	6.919368e-02	7.547444e-03	8.911346e-03
9.1514        	9.994593e-02	7.962874e-03	1.036501e-02
9.17191       	8.219107e-02	7.695231e-03	9.022591e-03
9.19241       	6.528354e-02	7.206011e-03	9.149882e-03
9.21292       	5.979632e-02	7.226419e-03	9.135277e-03
9.23342       	5.802236e-02	7.047841e-03	9.117191e-03
9.25393       	5.981631e-02	7.041948e-03	9.109553e-03
9.27444       	5.519901e-02	6.965358e-03	9.043191e-03
9.29494       	5.272285e-02	6.710227e-03	8.872218e-03
9.31545       	8.653794e-02	6.892447e-03	1.005396e-02
9.33595       	8.248666e-02	6.879403e-03	1.024585e-02
9.35646       	6.346517e-02	6.689172e-03	1.022427e-02
9.37697       	7.467958e-02	6.571097e-03	9.255789e-03
9.39747       	6.930983e-02	6.567340e-03	9.525366e-03
9.41798       	6.422121e-02	6.406323e-03	9.033793e-03
9.43848       	5.712626e-02	6.220801e-03	8.665180e-03
9.45899       	4.961281e-02	6.337096e-03	8.678222e-03
9.47949       	6.719157e-02	6.248233e-03	8.379313e-03
9.5           	8.387001e-02	6.198785e-03	8.917477e-03
9.52174       	6.829707e-02	6.733343e-03	9.240354e-03
9.54253       	6.680307e-02	6.445601e-03	8.371678e-03
9.56333       	7.508299e-02	6.347271e-03	8.222605e-03
9.58318       	7.260092e-02	6.073955e-03	8.187584e-03
9.60302       	8.014353e-02	6.367134e-03	8.091138e-03
9.62287       	6.676318e-02	6.178692e-03	8.087650e-03
9.64272       	5.577763e-02	6.078697e-03	7.965120e-03
9.66257       	5.938429e-02	6.173278e-03	8.021859e-03
9.68242       	6.406699e-02	6.204951e-03	7.784638e-03
9.70227       	6.743521e-02	6.052859e-03	7.972582e-03
9.72212       	8.007257e-02	6.041486e-03	8.241553e-03
9.74197       	6.157972e-02	6.283580e-03	8.214498e-03
9.76347       	5.569421e-02	6.535050e-03	8.676969e-03
9.78497       	6.158788e-02	6.458940e-03	8.691262e-03
9.80647       	7.972166e-02	6.595487e-03	9.035462e-03
9.82798       	6.452741e-02	7.003452e-03	8.899665e-03
9.84948       	6.012817e-02	6.657784e-03	8.896409e-03
9.87098       	5.371111e-02	6.696905e-03	8.683782e-03
9.89249       	8.032525e-02	6.781703e-03	9.034513e-03
9.91399       	6.594849e-02	7.276885e-03	9.127574e-03
9.93549       	6.023705e-02	6.948397e-03	9.100453e-03
9.95699       	6.901033e-02	6.841593e-03	8.964153e-03
9.9785        	7.278661e-02	6.897970e-03	9.002009e-03
10            	7.222409e-02	6.997942e-03	9.023075e-03
10.0227       	6.835524e-02	7.338891e-03	9.044168e-03
10.0455       	7.775673e-02	6.973958e-03	9.363363e-03
10.0682       	7.999913e-02	7.016874e-03	9.307982e-03
10.0898       	7.670301e-02	6.690401e-03	8.870943e-03
10.1114       	7.986914e-02	6.880109e-03	8.680672e-03
10.133        	6.810223e-02	6.663296e-03	8.581595e-03
10.1545       	6.368965e-02	6.419475e-03	8.361511e-03
10.1761       	5.838850e-02	6.247932e-03	8.307966e-03
10.1977       	5.852616e-02	6.277198e-03	8.372833e-03
10.2193       	7.491074e-02	6.310037e-03	8.359024e-03
10.2409       	5.724215e-02	6.295769e-03	8.472652e-03
10.2625       	7.039253e-02	6.258531e-03	8.568824e-03
10.2841       	7.268253e-02	6.286197e-03	8.683087e-03
10.3057       	6.131142e-02	6.199671e-03	8.675070e-03
10.3273       	6.057522e-02	6.152009e-03	8.736625e-03
10.3489       	6.083415e-02	6.095964e-03	8.541241e-03
10.3705       	7.120410e-02	6.048560e-03	8.628917e-03
10.392        	6.709347e-02	6.070203e-03	8.777251e-03
10.4136       	6.200058e-02	5.977278e-03	8.607672e-03
10.4352       	6.192115e-02	5.949135e-03	8.766146e-03
10.4568       	8.147733e-02	5.987286e-03	9.059328e-03
10.4784       	5.904746e-02	5.919292e-03	8.694888e-03
10.5          	5.184826e-02	5.886734e-03	8.528927e-03
10.5217       	5.180674e-02	5.856299e-03	8.433267e-03
10.5435       	6.364962e-02	5.747286e-03	8.450499e-03
10.5652       	5.883579e-02	5.818817e-03	8.365298e-03
10.5881       	6.103842e-02	6.134916e-03	8.764851e-03
10.611        	6.514126e-02	6.186427e-03	8.971796e-03
10.6339       	5.671438e-02	6.267111e-03	8.802423e-03
10.6568       	6.109820e-02	6.290000e-03	8.720633e-03
10.6796       	6.031203e-02	6.296305e-03	8.796804e-03
10.7025       	6.109980e-02	6.350289e-03	8.792872e-03
10.7254       	5.794213e-02	6.319022e-03	8.904354e-03
10.7483       	6.486739e-02	6.309310e-03	8.864448e-03
10.7712       	4.968430e-02	6.270073e-03	8.645398e-03
10.7941       	4.614596e-02	6.209130e-03	8.652592e-03
10.8146       	6.863725e-02	5.578151e-03	8.034233e-03
10.8352       	6.261519e-02	5.836385e-03	7.875637e-03
10.8558       	7.034091e-02	5.684723e-03	7.831465e-03
10.8764       	6.088475e-02	5.649015e-03	7.886594e-03
10.897        	4.165999e-02	5.634820e-03	7.687598e-03
10.9176       	4.860482e-02	5.604664e-03	7.659667e-03
10.9382       	4.983550e-02	5.558521e-03	7.648991e-03
10.9588       	5.741209e-02	5.550325e-03	7.628630e-03
10.9794       	4.900793e-02	5.539291e-03	7.501600e-03
11            	5.087172e-02	5.512854e-03	7.497887e-03
11.0208       	5.469443e-02	5.566701e-03	7.420377e-03
11.0417       	5.021748e-02	5.441074e-03	7.398349e-03
11.0625       	5.884240e-02	5.431038e-03	7.376834e-03
11.0833       	5.527349e-02	5.416064e-03	7.269068e-03
11.1042       	4.953998e-02	5.375946e-03	7.339327e-03
11.125        	5.350334e-02	5.331926e-03	7.500520e-03
11.1471       	6.165190e-02	5.626789e-03	7.681929e-03
11.1691       	6.216172e-02	5.502556e-03	7.773940e-03
11.1912       	5.254261e-02	5.490687e-03	7.765556e-03
11.2132       	5.707995e-02	5.427048e-03	7.704455e-03
11.2353       	5.266880e-02	5.430419e-03	7.513163e-03
11.2557       	5.871958e-02	4.977504e-03	7.023633e-03
11.276        	5.219845e-02	5.084124e-03	6.873209e-03
11.2964       	5.958332e-02	4.996740e-03	6.824314e-03
11.3167       	4.917628e-02	4.946172e-03	6.676962e-03
11.3371       	4.389802e-02	4.948206e-03	6.543145e-03
11.3575       	4.446495e-02	4.886777e-03	6.459773e-03
11.3778       	3.733009e-02	4.893206e-03	6.331988e-03
11.3982       	3.966986e-02	4.856754e-03	6.245510e-03
11.4186       	4.723844e-02	4.813454e-03	6.333109e-03
11.4389       	4.876984e-02	4.757752e-03	6.216036e-03
11.4593       	4.506815e-02	4.684545e-03	6.085287e-03
11.4796       	4.474004e-02	4.642619e-03	6.075509e-03
11.5          	4.924585e-02	4.628664e-03	6.068860e-03
11.5217       	5.155179e-02	4.877894e-03	6.394894e-03
11.5445       	4.788752e-02	4.981333e-03	6.731925e-03
11.5673       	5.519497e-02	4.937020e-03	6.808368e-03
11.5901       	4.708232e-02	5.006132e-03	6.639734e-03
11.6142       	4.933144e-02	5.276165e-03	6.720561e-03
11.6369       	6.368553e-02	4.891094e-03	6.559127e-03
11.6596       	5.073191e-02	5.019611e-03	6.272352e-03
11.6823       	5.065161e-02	4.979651e-03	6.283150e-03
11.705        	5.874533e-02	4.993001e-03	6.448674e-03
11.7277       	4.776732e-02	4.963324e-03	6.273688e-03
11.7503       	3.991072e-02	4.936450e-03	6.238610e-03
11.773        	3.757979e-02	4.937514e-03	5.997781e-03
11.7957       	4.127399e-02	4.913398e-03	5.827681e-03
