# Residuals   
# Time        	p             	Ux            	Uy            
2.7381        	8.970506e-03	6.053770e-03	5.380746e-03
2.7619        	9.355355e-03	6.053423e-03	5.408700e-03
2.78571       	1.032779e-02	6.053504e-03	5.441434e-03
2.80952       	9.831556e-03	6.058348e-03	5.459686e-03
2.83333       	9.976790e-03	6.051576e-03	5.490687e-03
2.85714       	9.962102e-03	6.061843e-03	5.510997e-03
2.88095       	9.312406e-03	6.068670e-03	5.525772e-03
2.90476       	9.017181e-03	6.063286e-03	5.540263e-03
2.92857       	9.892453e-03	6.055063e-03	5.567419e-03
2.95238       	9.761192e-03	6.051562e-03	5.568930e-03
2.97619       	1.074889e-02	6.044146e-03	5.589923e-03
3             	1.085079e-02	6.036730e-03	5.637486e-03
3.02381       	1.108746e-02	6.035153e-03	5.654780e-03
3.04762       	1.048068e-02	6.028286e-03	5.653226e-03
3.07143       	1.001489e-02	6.023816e-03	5.650734e-03
3.09524       	1.065290e-02	6.016126e-03	5.657178e-03
3.11905       	1.013872e-02	6.012642e-03	5.633862e-03
3.14286       	1.027335e-02	5.993409e-03	5.630154e-03
3.16667       	1.030038e-02	5.979571e-03	5.616932e-03
3.19048       	9.885721e-03	5.975786e-03	5.603104e-03
3.21429       	1.006336e-02	5.976386e-03	5.597106e-03
3.2381        	1.126031e-02	5.965833e-03	5.601524e-03
3.2619        	1.087693e-02	5.978759e-03	5.573425e-03
3.28571       	1.024971e-02	5.950692e-03	5.545017e-03
3.30952       	1.048296e-02	5.945846e-03	5.534664e-03
3.33333       	1.061633e-02	5.927503e-03	5.531382e-03
3.35714       	1.014695e-02	5.925657e-03	5.524469e-03
3.38095       	1.016354e-02	5.927051e-03	5.493450e-03
3.40476       	1.030790e-02	5.900239e-03	5.484004e-03
3.42857       	1.017540e-02	5.893433e-03	5.465334e-03
3.45238       	1.068513e-02	5.885285e-03	5.442648e-03
3.47619       	1.055377e-02	5.865002e-03	5.422315e-03
3.5           	1.097703e-02	5.826365e-03	5.431024e-03
3.52381       	1.033123e-02	5.828672e-03	5.424186e-03
3.54649       	1.437113e-02	5.518070e-03	5.496180e-03
3.56916       	1.155389e-02	5.919577e-03	5.174906e-03
3.59184       	1.107114e-02	5.494469e-03	5.158419e-03
3.61451       	1.088882e-02	5.505866e-03	5.131752e-03
3.63593       	1.591537e-02	5.176193e-03	5.185762e-03
3.65734       	1.367562e-02	5.623939e-03	4.831003e-03
3.67876       	1.155405e-02	5.149221e-03	4.827590e-03
3.70018       	1.083994e-02	5.169283e-03	4.788107e-03
3.72159       	1.040234e-02	5.148656e-03	4.736900e-03
3.74148       	1.823519e-02	4.761957e-03	4.867366e-03
3.76136       	1.408117e-02	5.300849e-03	4.388987e-03
3.78125       	1.189883e-02	4.744184e-03	4.358246e-03
3.80114       	1.099548e-02	4.753501e-03	4.304294e-03
3.82102       	1.068384e-02	4.738175e-03	4.250232e-03
3.84091       	1.072646e-02	4.733198e-03	4.222996e-03
3.85859       	2.380119e-02	4.182720e-03	4.431604e-03
