# Residuals   
# Time        	p             	Ux            	Uy            
18.7          	N/A	N/A
18.7091       	1.141923e-01	9.711380e-04	1.650041e-03
18.7182       	1.028520e-01	1.864231e-03	1.700323e-03
18.7273       	1.094658e-02	6.188108e-04	6.051782e-04
18.7364       	6.494877e-03	6.184238e-04	6.297072e-04
18.7455       	5.047167e-03	6.211167e-04	5.754528e-04
18.7545       	4.103556e-03	6.117466e-04	5.792521e-04
18.7636       	3.943080e-03	6.120403e-04	5.685528e-04
18.7727       	3.696283e-03	6.009404e-04	5.607541e-04
18.7818       	3.963589e-03	6.094679e-04	5.545408e-04
18.7909       	4.124317e-03	6.017046e-04	5.496683e-04
18.8          	3.816409e-03	6.051978e-04	5.543586e-04
18.8091       	3.570458e-03	5.998168e-04	5.568880e-04
18.8182       	3.740584e-03	6.039574e-04	5.489255e-04
18.8273       	4.252622e-03	5.975653e-04	5.765857e-04
18.8364       	3.878705e-03	5.992888e-04	5.522771e-04
18.8455       	3.269614e-03	5.909633e-04	5.665621e-04
18.8545       	3.155981e-03	5.880753e-04	5.150567e-04
18.8636       	2.986293e-03	5.883379e-04	5.192726e-04
18.8727       	2.989394e-03	5.817662e-04	5.167974e-04
18.8818       	2.963941e-03	5.762494e-04	5.164764e-04
18.8909       	2.936946e-03	5.744443e-04	5.079083e-04
18.9          	3.201849e-03	5.705896e-04	5.122641e-04
18.91         	2.169068e-02	6.164452e-04	6.204693e-04
18.92         	1.217037e-02	6.728647e-04	6.895541e-04
18.93         	6.706347e-03	6.038936e-04	7.759410e-04
18.94         	5.302162e-03	6.074156e-04	6.940678e-04
18.95         	4.047871e-03	5.975758e-04	6.313123e-04
18.96         	4.498639e-03	5.932235e-04	5.790816e-04
18.97         	3.925940e-03	5.858118e-04	5.709462e-04
18.98         	3.610361e-03	5.847985e-04	5.617141e-04
18.99         	2.996159e-03	5.828555e-04	5.609444e-04
19            	3.075521e-03	5.820154e-04	5.564475e-04
19.01         	3.486515e-03	5.793533e-04	5.533185e-04
19.02         	3.513508e-03	5.768704e-04	5.514278e-04
19.03         	3.077051e-03	5.760617e-04	5.494592e-04
19.04         	3.210477e-03	5.753184e-04	5.476999e-04
19.05         	3.274305e-03	5.710161e-04	5.459769e-04
19.0583       	4.189102e-02	5.348505e-04	6.385916e-04
19.0667       	2.107223e-02	5.869356e-04	6.729142e-04
19.075        	1.081087e-02	5.244503e-04	7.688691e-04
19.0833       	7.055384e-03	5.415390e-04	6.473226e-04
19.0917       	5.701848e-03	5.445859e-04	7.160752e-04
19.1          	5.510153e-03	5.461257e-04	5.466321e-04
19.1091       	2.204641e-02	5.719666e-04	7.022867e-04
19.1182       	1.179273e-02	6.279194e-04	6.381828e-04
19.1273       	6.214126e-03	5.645127e-04	6.443368e-04
19.1364       	4.104151e-03	5.608948e-04	6.503140e-04
19.1455       	4.541883e-03	5.572658e-04	5.514392e-04
19.1545       	3.083947e-03	5.458133e-04	5.377058e-04
19.1636       	3.297838e-03	5.423382e-04	5.286362e-04
19.1727       	3.062154e-03	5.375875e-04	5.147546e-04
19.1818       	3.203610e-03	5.379770e-04	5.125776e-04
19.1909       	3.154613e-03	5.345245e-04	5.088407e-04
19.2          	2.869229e-03	5.327507e-04	5.076104e-04
19.2091       	2.873556e-03	5.304192e-04	5.059977e-04
19.2182       	3.231322e-03	5.304909e-04	5.044901e-04
19.2273       	3.073061e-03	5.273037e-04	5.016546e-04
19.2364       	3.211557e-03	5.280852e-04	4.977419e-04
19.2455       	3.648767e-03	5.265662e-04	5.025888e-04
19.2545       	3.356393e-03	5.268206e-04	5.109416e-04
19.2636       	2.862646e-03	5.279495e-04	5.133764e-04
19.2727       	2.768514e-03	5.269546e-04	5.113261e-04
19.2818       	3.361826e-03	5.295209e-04	5.102980e-04
19.2909       	2.956691e-03	5.304738e-04	5.095623e-04
19.3          	2.830275e-03	5.338160e-04	5.061083e-04
19.3091       	3.073664e-03	5.330640e-04	5.036962e-04
19.3182       	3.079268e-03	5.351532e-04	5.016215e-04
19.3273       	2.675058e-03	5.343791e-04	4.976367e-04
19.3364       	2.883682e-03	5.321762e-04	4.981665e-04
19.3455       	3.027948e-03	5.338089e-04	4.996136e-04
19.3545       	2.684741e-03	5.340352e-04	5.031922e-04
19.3636       	2.955545e-03	5.334389e-04	5.018082e-04
19.3727       	3.146018e-03	5.327204e-04	5.025319e-04
19.3818       	2.995619e-03	5.293376e-04	5.048545e-04
19.3909       	3.325350e-03	5.425842e-04	5.068628e-04
19.4          	3.177484e-03	5.405098e-04	5.099291e-04
19.4091       	3.009067e-03	5.441368e-04	5.119676e-04
19.4182       	2.560342e-03	5.404454e-04	5.099768e-04
19.4273       	2.916563e-03	5.378809e-04	5.082981e-04
19.4364       	2.713999e-03	5.364425e-04	5.031011e-04
19.4455       	2.668968e-03	5.335355e-04	4.977383e-04
19.4545       	2.696292e-03	5.280255e-04	4.920528e-04
19.4636       	2.832341e-03	5.245520e-04	4.924303e-04
19.4727       	3.323794e-03	5.231961e-04	4.950118e-04
19.4818       	3.209013e-03	5.181298e-04	5.019035e-04
19.4909       	2.736155e-03	5.185456e-04	5.056266e-04
19.5          	3.117058e-03	5.214841e-04	5.051363e-04
19.5091       	2.855692e-03	5.190920e-04	5.087325e-04
19.5182       	3.091784e-03	5.186626e-04	5.061489e-04
19.5273       	2.849265e-03	5.178399e-04	5.074740e-04
19.5364       	2.884950e-03	5.220098e-04	5.066289e-04
19.5455       	3.110138e-03	5.195982e-04	5.082391e-04
19.5545       	2.970926e-03	5.198879e-04	5.097442e-04
19.5636       	3.060752e-03	5.199842e-04	5.108673e-04
19.5727       	3.575592e-03	5.224533e-04	5.167035e-04
19.5818       	3.652686e-03	5.225800e-04	5.189941e-04
19.5909       	3.545570e-03	5.268726e-04	5.316575e-04
19.6          	4.392385e-03	5.191985e-04	5.399011e-04
19.6091       	3.288814e-03	5.148584e-04	5.349483e-04
19.6182       	3.383690e-03	5.133037e-04	5.185134e-04
19.6273       	3.076212e-03	5.200067e-04	5.150307e-04
19.6364       	3.155730e-03	5.200975e-04	5.236413e-04
19.6455       	2.606524e-03	5.223994e-04	5.163738e-04
19.6545       	2.886036e-03	5.192559e-04	5.188189e-04
19.6636       	2.996366e-03	5.259281e-04	5.153993e-04
19.6727       	3.021238e-03	5.221786e-04	5.178700e-04
19.6818       	3.163573e-03	5.290363e-04	5.234322e-04
19.6909       	3.645040e-03	5.287044e-04	5.485986e-04
19.7          	3.808209e-03	5.278443e-04	5.393387e-04
19.7091       	3.339375e-03	5.267792e-04	5.120405e-04
19.7182       	3.124992e-03	5.272984e-04	5.191471e-04
19.7273       	3.031057e-03	5.281835e-04	5.208585e-04
19.7364       	2.841242e-03	5.286446e-04	5.122854e-04
19.7455       	2.963403e-03	5.324417e-04	5.150307e-04
19.7545       	4.253493e-03	5.309578e-04	5.375280e-04
19.7636       	4.154381e-03	5.308061e-04	5.254212e-04
19.7727       	3.318869e-03	5.316249e-04	4.970084e-04
19.7818       	3.073738e-03	5.291044e-04	5.082068e-04
19.7909       	2.810813e-03	5.317437e-04	5.145214e-04
19.8          	3.482265e-03	5.314108e-04	5.132652e-04
19.8091       	3.196951e-03	5.332175e-04	4.982187e-04
19.8182       	4.239024e-03	5.282555e-04	5.440361e-04
19.8273       	4.981207e-03	5.350987e-04	5.396291e-04
19.8364       	4.559078e-03	5.347916e-04	5.126175e-04
19.8455       	3.789533e-03	5.366716e-04	5.244584e-04
19.8545       	3.824490e-03	5.452920e-04	5.205102e-04
19.8636       	3.824777e-03	5.439146e-04	5.275358e-04
19.8727       	5.120573e-03	5.463268e-04	5.477464e-04
19.8818       	4.097818e-03	5.458464e-04	5.522495e-04
19.8909       	3.690317e-03	5.453214e-04	5.270066e-04
19.9          	2.887207e-03	5.403925e-04	5.201388e-04
19.9091       	3.237643e-03	5.435335e-04	5.382616e-04
19.9182       	2.922833e-03	5.412298e-04	5.268343e-04
19.9273       	4.938305e-03	5.427694e-04	5.648419e-04
19.9364       	5.197563e-03	5.414270e-04	5.531285e-04
19.9455       	3.823342e-03	5.446416e-04	5.213952e-04
19.9545       	3.520169e-03	5.423152e-04	5.243639e-04
19.9636       	2.522051e-03	5.451895e-04	5.180610e-04
19.9727       	2.880998e-03	5.453771e-04	5.196698e-04
19.9818       	3.806771e-03	5.471281e-04	5.299561e-04
19.9909       	2.991686e-03	5.483982e-04	5.124000e-04
20            	3.269876e-03	5.499472e-04	5.198790e-04
20.0091       	2.925386e-03	5.477714e-04	4.981135e-04
20.0182       	2.852252e-03	5.524076e-04	4.998951e-04
20.0273       	3.269660e-03	5.531289e-04	5.102152e-04
20.0364       	2.787622e-03	5.581047e-04	5.103726e-04
20.0455       	2.747570e-03	5.595530e-04	5.108764e-04
20.0545       	2.766904e-03	5.616718e-04	5.055770e-04
20.0636       	3.535988e-03	5.578043e-04	5.208431e-04
20.0727       	3.042476e-03	5.599757e-04	5.067345e-04
20.0818       	2.681294e-03	5.597130e-04	5.079341e-04
20.0909       	2.903336e-03	5.552625e-04	5.054907e-04
20.1          	3.413438e-03	5.553369e-04	5.140209e-04
20.1091       	2.746296e-03	5.560407e-04	5.070213e-04
20.1182       	2.884535e-03	5.562317e-04	5.056171e-04
20.1273       	2.865728e-03	5.531087e-04	5.054881e-04
20.1364       	2.475046e-03	5.540461e-04	5.070568e-04
20.1455       	2.656017e-03	5.525347e-04	4.994805e-04
20.1545       	2.539322e-03	5.518742e-04	4.958316e-04
20.1636       	2.555542e-03	5.483490e-04	4.943199e-04
20.1727       	2.793444e-03	5.446001e-04	4.918241e-04
20.1818       	2.650582e-03	5.423613e-04	4.904201e-04
20.1909       	2.615891e-03	5.458948e-04	5.013216e-04
20.2          	2.873853e-03	5.451856e-04	4.960650e-04
20.2091       	3.036323e-03	5.436895e-04	5.002196e-04
20.2182       	2.931815e-03	5.462675e-04	5.127578e-04
20.2273       	3.500188e-03	5.486109e-04	5.201325e-04
20.2364       	3.026563e-03	5.500129e-04	5.167124e-04
20.2455       	3.001700e-03	5.468800e-04	5.094001e-04
20.2545       	2.649656e-03	5.426722e-04	4.979861e-04
