# Residuals   
# Time        	p             	Ux            	Uy            
33.5          	N/A	N/A
33.5019       	3.405372e-01	4.242509e-02	2.070655e-02
33.5038       	1.295648e-01	1.818704e-02	7.339927e-03
33.5057       	1.912377e-01	1.909477e-02	1.435742e-02
33.5076       	2.020483e-01	3.632704e-02	1.754088e-02
33.5095       	2.757405e-01	2.788867e-02	1.335797e-02
33.5114       	2.895161e-01	4.508634e-02	1.761608e-02
33.5132       	3.240783e-01	4.801143e-02	2.041862e-02
33.515        	4.299790e-01	7.965943e-02	2.970179e-02
