# Residuals   
# Time        	p             	Ux            	Uy            
28.9          	N/A	N/A
28.9067       	1.937245e-01	9.755028e-04	1.678375e-03
28.9133       	1.625673e-01	1.697553e-03	5.275905e-03
28.92         	4.306290e-02	8.993925e-04	2.880606e-03
28.9267       	3.383730e-02	8.622984e-04	4.984913e-03
28.9333       	3.577010e-02	9.014277e-04	5.740977e-03
28.94         	4.083230e-02	9.329369e-04	6.254609e-03
28.9467       	4.439364e-02	9.786114e-04	7.502304e-03
28.9533       	4.221155e-02	1.039419e-03	6.241554e-03
28.96         	4.157383e-02	1.084128e-03	6.785844e-03
28.9667       	3.917325e-02	1.105065e-03	5.885764e-03
28.9733       	3.946631e-02	1.148784e-03	6.340060e-03
28.98         	4.002443e-02	1.157744e-03	6.066517e-03
28.9867       	4.238022e-02	1.228456e-03	7.132081e-03
28.9933       	4.306209e-02	1.232036e-03	6.543153e-03
29            	4.453560e-02	1.287608e-03	7.412626e-03
29.0063       	5.128093e-02	1.263392e-03	5.687086e-03
29.0125       	4.562188e-02	1.303163e-03	5.382285e-03
29.0188       	4.018435e-02	1.301849e-03	4.422642e-03
29.025        	3.556088e-02	1.370962e-03	4.218222e-03
29.0313       	3.249010e-02	1.367530e-03	3.488084e-03
29.0375       	3.165678e-02	1.420986e-03	3.512403e-03
29.0438       	3.250227e-02	1.396698e-03	3.932631e-03
29.05         	3.636771e-02	1.518592e-03	4.778733e-03
29.0563       	3.552975e-02	1.531860e-03	4.237883e-03
29.0625       	3.578544e-02	1.604450e-03	4.572287e-03
29.0688       	3.690072e-02	1.590868e-03	4.590317e-03
29.075        	3.917554e-02	1.748676e-03	5.343254e-03
29.0813       	4.102317e-02	1.744801e-03	5.272608e-03
29.0875       	4.285710e-02	1.874895e-03	5.800338e-03
29.0938       	4.131494e-02	1.845918e-03	4.572883e-03
29.1          	3.630952e-02	1.971999e-03	4.209424e-03
29.1062       	3.636249e-02	1.923368e-03	3.904618e-03
29.1125       	3.436185e-02	2.072229e-03	3.601400e-03
29.1188       	2.917437e-02	2.051815e-03	2.262249e-03
29.125        	2.610508e-02	2.126727e-03	1.906442e-03
29.1313       	2.793525e-02	2.062539e-03	2.849669e-03
29.1375       	3.148389e-02	2.249562e-03	3.486188e-03
29.1438       	3.030368e-02	2.245287e-03	2.462876e-03
29.15         	2.834336e-02	2.301634e-03	2.454146e-03
29.1562       	3.301727e-02	2.240886e-03	3.969122e-03
29.1625       	3.955276e-02	2.425359e-03	5.373561e-03
29.1687       	4.018240e-02	2.407657e-03	4.013218e-03
29.175        	3.933414e-02	2.593380e-03	4.261171e-03
29.1812       	4.095945e-02	2.547674e-03	4.752874e-03
29.1875       	4.327942e-02	2.689408e-03	5.698858e-03
29.1937       	4.826180e-02	2.588192e-03	6.231865e-03
29.2          	5.207307e-02	2.856979e-03	7.530425e-03
29.2063       	4.933641e-02	2.762372e-03	5.229269e-03
29.2125       	4.281034e-02	2.899174e-03	3.937341e-03
29.2188       	3.531728e-02	2.830013e-03	2.623231e-03
29.225        	2.833553e-02	2.913216e-03	1.119166e-03
29.2313       	2.399175e-02	2.843535e-03	6.801166e-04
29.2375       	2.249152e-02	2.930828e-03	6.504668e-04
29.2438       	2.209616e-02	2.857174e-03	7.905305e-04
29.25         	2.296087e-02	2.959786e-03	9.546172e-04
29.2563       	2.217042e-02	2.954081e-03	6.490585e-04
29.2625       	2.221168e-02	3.033092e-03	8.450331e-04
29.2688       	2.283868e-02	2.999814e-03	9.483163e-04
29.275        	2.299743e-02	3.068572e-03	7.870480e-04
29.2812       	2.437233e-02	3.052026e-03	1.058779e-03
29.2875       	2.607188e-02	3.182710e-03	1.084657e-03
29.2937       	2.785657e-02	3.237648e-03	7.245619e-04
29.3          	3.164078e-02	3.402570e-03	1.017535e-03
29.3062       	3.173793e-02	3.349107e-03	9.902684e-04
29.3125       	3.265070e-02	3.441181e-03	8.499862e-04
29.3188       	3.159830e-02	3.353275e-03	1.164257e-03
29.325        	3.160661e-02	3.468010e-03	1.115752e-03
29.3313       	2.948381e-02	3.434499e-03	9.728787e-04
29.3375       	2.929593e-02	3.545854e-03	1.267866e-03
29.3438       	2.824033e-02	3.527278e-03	1.072369e-03
29.35         	2.753631e-02	3.585898e-03	1.028141e-03
29.3563       	2.823025e-02	3.528187e-03	1.453324e-03
29.3625       	2.867910e-02	3.587388e-03	1.354900e-03
29.3687       	2.881624e-02	3.596696e-03	1.570551e-03
29.375        	3.006610e-02	3.736261e-03	1.903073e-03
29.3813       	2.947727e-02	3.735549e-03	1.424858e-03
29.3875       	2.900296e-02	3.832957e-03	1.506308e-03
29.3937       	3.030091e-02	3.762476e-03	2.046304e-03
29.4          	3.162496e-02	3.847128e-03	2.105797e-03
29.4062       	3.366504e-02	3.817741e-03	2.319134e-03
29.4125       	3.510712e-02	4.032015e-03	2.688225e-03
29.4188       	3.512356e-02	4.015211e-03	2.218743e-03
29.425        	3.430996e-02	4.149232e-03	2.320660e-03
29.4313       	3.694643e-02	4.062077e-03	2.916844e-03
29.4375       	3.906814e-02	4.268884e-03	3.551327e-03
29.4438       	4.183355e-02	4.201592e-03	3.435678e-03
29.45         	4.400037e-02	4.506465e-03	4.084723e-03
29.4563       	4.381639e-02	4.378952e-03	3.568041e-03
29.4625       	4.477530e-02	4.625483e-03	3.961933e-03
29.4688       	4.636867e-02	4.411161e-03	3.782568e-03
29.475        	4.844913e-02	4.777123e-03	4.742772e-03
29.4812       	4.841079e-02	4.462902e-03	3.249747e-03
29.4875       	4.805386e-02	4.546477e-03	3.632017e-03
29.4937       	4.992922e-02	4.261836e-03	3.603935e-03
29.5          	5.195236e-02	4.479465e-03	4.083676e-03
29.5063       	5.425120e-02	4.221851e-03	4.153196e-03
29.5125       	5.584114e-02	4.351398e-03	4.575902e-03
29.5188       	5.724266e-02	4.089608e-03	4.388499e-03
29.525        	5.739749e-02	4.338442e-03	4.678413e-03
29.5313       	5.557719e-02	4.099883e-03	3.906620e-03
29.5375       	5.381010e-02	4.287622e-03	3.922348e-03
29.5438       	5.492720e-02	4.022819e-03	4.062589e-03
29.55         	5.624842e-02	4.321724e-03	4.762655e-03
29.5563       	6.048514e-02	4.022705e-03	5.081287e-03
29.5625       	6.380846e-02	4.246536e-03	6.022429e-03
29.5688       	6.621463e-02	3.936564e-03	5.631221e-03
29.575        	6.683612e-02	4.230173e-03	6.175931e-03
29.5813       	6.679651e-02	3.930195e-03	5.168956e-03
29.5875       	6.460382e-02	4.165337e-03	5.177146e-03
29.5938       	6.542325e-02	3.884316e-03	4.788000e-03
29.6          	6.532923e-02	4.218159e-03	4.873067e-03
29.6062       	6.210634e-02	3.926860e-03	4.368700e-03
29.6125       	5.700409e-02	4.187373e-03	4.616390e-03
29.6188       	5.743346e-02	3.877136e-03	4.628529e-03
29.625        	5.934436e-02	4.167128e-03	5.343081e-03
29.6313       	6.133148e-02	3.850079e-03	5.089100e-03
29.6375       	6.170316e-02	4.113907e-03	5.633064e-03
29.6438       	6.367712e-02	3.819062e-03	5.073251e-03
29.65         	6.405308e-02	4.060753e-03	5.182320e-03
29.6562       	6.345929e-02	3.808476e-03	4.172435e-03
29.6625       	5.841507e-02	4.081205e-03	3.933787e-03
29.6687       	5.615635e-02	3.812675e-03	3.909145e-03
29.675        	5.660961e-02	4.088740e-03	4.309291e-03
29.6812       	6.036809e-02	3.801222e-03	4.639284e-03
29.6875       	6.431464e-02	4.016771e-03	5.361687e-03
29.6937       	6.702497e-02	3.719635e-03	5.116443e-03
29.7          	6.558732e-02	4.047040e-03	5.491131e-03
29.7063       	6.169663e-02	3.758459e-03	4.454953e-03
29.7125       	5.656451e-02	3.979035e-03	4.272341e-03
29.7188       	5.791307e-02	3.700183e-03	4.257392e-03
29.725        	6.111295e-02	4.029624e-03	4.746454e-03
29.7313       	6.360970e-02	3.723258e-03	4.983202e-03
29.7375       	6.710414e-02	4.032497e-03	5.793454e-03
29.7438       	6.754905e-02	3.700371e-03	5.540733e-03
29.75         	6.707458e-02	3.998481e-03	6.115296e-03
29.7563       	6.496691e-02	3.672846e-03	4.913353e-03
29.7625       	6.150722e-02	3.947181e-03	4.414992e-03
29.7688       	5.938504e-02	3.686261e-03	3.743864e-03
29.775        	5.607603e-02	3.923175e-03	3.365244e-03
29.7812       	5.458999e-02	3.651949e-03	3.340741e-03
29.7875       	5.552357e-02	3.925131e-03	3.671499e-03
29.7937       	5.690642e-02	3.668031e-03	3.393761e-03
29.8          	5.669096e-02	3.893510e-03	3.620693e-03
29.8062       	5.899189e-02	3.610634e-03	4.185128e-03
29.8125       	6.222170e-02	3.879916e-03	4.822525e-03
29.8188       	6.547454e-02	3.599862e-03	4.630388e-03
29.825        	6.717444e-02	3.881092e-03	5.240574e-03
29.8313       	6.870857e-02	3.593963e-03	5.030292e-03
29.8375       	6.856526e-02	3.899099e-03	5.466053e-03
29.8438       	6.738370e-02	3.618629e-03	5.147253e-03
29.85         	6.750937e-02	3.850146e-03	5.522554e-03
29.8563       	6.857529e-02	3.553741e-03	5.667061e-03
29.8625       	7.158347e-02	3.895079e-03	6.355369e-03
29.8687       	7.081126e-02	3.582025e-03	5.541332e-03
29.875        	7.005553e-02	3.837029e-03	5.624263e-03
29.8813       	6.666408e-02	3.537295e-03	4.610101e-03
29.8875       	6.237366e-02	3.804253e-03	4.493942e-03
29.8937       	6.145886e-02	3.513159e-03	4.570438e-03
29.9          	6.377223e-02	3.813260e-03	5.211818e-03
29.9062       	6.634704e-02	3.500112e-03	5.203179e-03
29.9125       	6.882738e-02	3.798839e-03	5.885092e-03
29.9188       	6.948059e-02	3.500926e-03	5.410835e-03
29.925        	6.766359e-02	3.793177e-03	5.730824e-03
29.9313       	6.814219e-02	3.501036e-03	4.905927e-03
29.9375       	6.618554e-02	3.761254e-03	4.999300e-03
29.9438       	6.692186e-02	3.472295e-03	5.067424e-03
29.95         	6.878772e-02	3.799587e-03	5.647764e-03
29.9563       	7.057017e-02	3.495111e-03	5.372393e-03
29.9625       	7.036153e-02	3.739429e-03	5.912311e-03
29.9688       	7.045978e-02	3.424069e-03	5.601549e-03
29.975        	7.059387e-02	3.745313e-03	6.155729e-03
29.9812       	7.051190e-02	3.436357e-03	5.558450e-03
29.9875       	7.032268e-02	3.715365e-03	5.897252e-03
