# Residuals   
# Time        	p             	Ux            	Uy            
5.82184       	1.592041e-03	1.528894e-04	1.216632e-04
5.82299       	1.660352e-03	1.527952e-04	1.215001e-04
5.82414       	1.630367e-03	1.523906e-04	1.215327e-04
5.82527       	2.456593e-03	1.497334e-04	1.211501e-04
5.8264        	1.689330e-03	1.511131e-04	1.195875e-04
5.82753       	1.613793e-03	1.499105e-04	1.198850e-04
5.82867       	1.554885e-03	1.498232e-04	1.197228e-04
5.8298        	1.573199e-03	1.496403e-04	1.195843e-04
5.83093       	1.595133e-03	1.495046e-04	1.193595e-04
5.83206       	1.647343e-03	1.495487e-04	1.193536e-04
5.8332        	1.586035e-03	1.496549e-04	1.191757e-04
5.83433       	1.581438e-03	1.498039e-04	1.192505e-04
5.83546       	1.841136e-03	1.498411e-04	1.196434e-04
5.83659       	2.025296e-03	1.507495e-04	1.200875e-04
5.83773       	1.690173e-03	1.514316e-04	1.201281e-04
5.83886       	1.833630e-03	1.518679e-04	1.203148e-04
5.83999       	1.976870e-03	1.526516e-04	1.204952e-04
5.84112       	1.926072e-03	1.534731e-04	1.204658e-04
5.84225       	1.702036e-03	1.532414e-04	1.203621e-04
5.84339       	1.644669e-03	1.532493e-04	1.202957e-04
5.84452       	1.530865e-03	1.531164e-04	1.202458e-04
5.84565       	1.517381e-03	1.527909e-04	1.203681e-04
5.84678       	1.601034e-03	1.526060e-04	1.205076e-04
5.84792       	1.533631e-03	1.524893e-04	1.204653e-04
5.84905       	1.581115e-03	1.520586e-04	1.204324e-04
5.85018       	1.608515e-03	1.516205e-04	1.202520e-04
5.85131       	1.567622e-03	1.511708e-04	1.202047e-04
5.85244       	1.583040e-03	1.507976e-04	1.202121e-04
5.85358       	1.555619e-03	1.506439e-04	1.200999e-04
5.85471       	1.652274e-03	1.504083e-04	1.200092e-04
5.85584       	1.680363e-03	1.502960e-04	1.199530e-04
5.85697       	1.488782e-03	1.501798e-04	1.198179e-04
5.85811       	1.543948e-03	1.499113e-04	1.197639e-04
5.85924       	1.547532e-03	1.496986e-04	1.198530e-04
5.86037       	1.551364e-03	1.497550e-04	1.198975e-04
5.8615        	1.514772e-03	1.496739e-04	1.198147e-04
5.86264       	1.489405e-03	1.494934e-04	1.196804e-04
5.86377       	1.432684e-03	1.492294e-04	1.193447e-04
5.8649        	1.431040e-03	1.490623e-04	1.191282e-04
5.86603       	1.601718e-03	1.488442e-04	1.190578e-04
5.86716       	1.470879e-03	1.487432e-04	1.189139e-04
5.8683        	1.510516e-03	1.486472e-04	1.188796e-04
5.86943       	1.606179e-03	1.485585e-04	1.190594e-04
5.87056       	1.519760e-03	1.485783e-04	1.191169e-04
5.87169       	1.660079e-03	1.486208e-04	1.190959e-04
5.87283       	1.839639e-03	1.486563e-04	1.191088e-04
5.87396       	1.651707e-03	1.482994e-04	1.189863e-04
5.87509       	1.544818e-03	1.483003e-04	1.189857e-04
5.87622       	1.444980e-03	1.482069e-04	1.189723e-04
5.87735       	1.531862e-03	1.481744e-04	1.190093e-04
5.87849       	1.528607e-03	1.481100e-04	1.189998e-04
5.87962       	1.501510e-03	1.481633e-04	1.190218e-04
5.88075       	1.579841e-03	1.481198e-04	1.190726e-04
5.88188       	1.460573e-03	1.480674e-04	1.190026e-04
5.88302       	1.532958e-03	1.477539e-04	1.189078e-04
5.88415       	1.548654e-03	1.477374e-04	1.187694e-04
5.88528       	1.595469e-03	1.478725e-04	1.186051e-04
5.88641       	1.677051e-03	1.477389e-04	1.186305e-04
5.88755       	1.478755e-03	1.474789e-04	1.183971e-04
5.88868       	1.433098e-03	1.473746e-04	1.182063e-04
5.88981       	1.533464e-03	1.471147e-04	1.181566e-04
5.89094       	1.420159e-03	1.469785e-04	1.180235e-04
5.89207       	1.469492e-03	1.468963e-04	1.181188e-04
5.89321       	1.511747e-03	1.468260e-04	1.181673e-04
5.89434       	1.441878e-03	1.468188e-04	1.179855e-04
5.89547       	1.402587e-03	1.468436e-04	1.178503e-04
5.8966        	1.483893e-03	1.467119e-04	1.178352e-04
5.89774       	1.510182e-03	1.467940e-04	1.179532e-04
5.89887       	1.748284e-03	1.469988e-04	1.179619e-04
5.9           	1.523453e-03	1.468311e-04	1.180070e-04
5.90114       	1.860851e-03	1.472274e-04	1.181580e-04
5.90227       	1.707412e-03	1.468361e-04	1.184948e-04
5.90341       	1.557384e-03	1.467956e-04	1.183654e-04
5.90455       	1.623650e-03	1.468002e-04	1.181701e-04
5.90568       	1.532307e-03	1.469376e-04	1.180109e-04
5.90682       	1.499882e-03	1.467290e-04	1.180544e-04
5.90795       	1.498457e-03	1.463650e-04	1.179483e-04
5.90909       	1.898754e-03	1.469991e-04	1.184982e-04
5.91023       	2.398108e-03	1.486781e-04	1.192063e-04
5.91136       	2.010411e-03	1.502974e-04	1.190920e-04
5.9125        	1.771599e-03	1.499466e-04	1.188701e-04
5.91364       	1.765632e-03	1.494043e-04	1.186151e-04
5.91477       	1.793674e-03	1.491996e-04	1.185522e-04
5.91591       	1.748185e-03	1.493856e-04	1.185230e-04
5.91705       	1.496878e-03	1.494460e-04	1.183954e-04
5.91818       	1.455876e-03	1.490233e-04	1.182357e-04
5.91932       	1.605614e-03	1.488199e-04	1.181688e-04
5.92045       	1.520978e-03	1.485330e-04	1.181734e-04
5.92159       	1.575930e-03	1.483336e-04	1.181649e-04
5.92273       	1.556326e-03	1.483902e-04	1.180704e-04
5.92386       	1.588827e-03	1.480149e-04	1.180177e-04
5.925         	1.547966e-03	1.477095e-04	1.182076e-04
5.92614       	1.540567e-03	1.474103e-04	1.182353e-04
5.92727       	1.669807e-03	1.471734e-04	1.182133e-04
5.92841       	1.605327e-03	1.469238e-04	1.181448e-04
5.92955       	1.471779e-03	1.467812e-04	1.180166e-04
5.93068       	1.614545e-03	1.464033e-04	1.179452e-04
5.93182       	1.565684e-03	1.461990e-04	1.179525e-04
5.93295       	1.586736e-03	1.461007e-04	1.179727e-04
5.93409       	1.643051e-03	1.459561e-04	1.179577e-04
5.93523       	1.784664e-03	1.456339e-04	1.179136e-04
5.93636       	1.537710e-03	1.454422e-04	1.179818e-04
5.9375        	1.480639e-03	1.454142e-04	1.179129e-04
5.93864       	1.513161e-03	1.452769e-04	1.179673e-04
5.93977       	1.607944e-03	1.451670e-04	1.178965e-04
5.94091       	1.484416e-03	1.449493e-04	1.178869e-04
5.94205       	1.470931e-03	1.448644e-04	1.179097e-04
5.94318       	1.522653e-03	1.446846e-04	1.180065e-04
5.94432       	1.576461e-03	1.447627e-04	1.181537e-04
5.94545       	1.549855e-03	1.445351e-04	1.181967e-04
5.94659       	1.501625e-03	1.443789e-04	1.182170e-04
5.94773       	1.535663e-03	1.441733e-04	1.181434e-04
5.94886       	1.570527e-03	1.438872e-04	1.181640e-04
5.95          	1.556230e-03	1.436923e-04	1.183238e-04
5.95114       	1.596238e-03	1.433817e-04	1.185608e-04
5.95227       	1.695698e-03	1.432647e-04	1.185748e-04
5.95341       	1.631955e-03	1.431159e-04	1.187775e-04
5.95455       	1.538450e-03	1.430036e-04	1.188038e-04
5.95568       	1.552085e-03	1.430185e-04	1.188746e-04
5.95682       	1.552556e-03	1.430259e-04	1.188614e-04
5.95795       	1.534525e-03	1.430529e-04	1.189385e-04
5.95909       	1.627010e-03	1.430954e-04	1.188989e-04
5.96023       	1.502538e-03	1.431401e-04	1.188797e-04
5.96136       	1.628005e-03	1.432033e-04	1.186945e-04
5.9625        	1.507398e-03	1.432964e-04	1.186362e-04
5.96364       	1.452798e-03	1.432615e-04	1.186389e-04
5.96477       	1.451659e-03	1.432448e-04	1.186475e-04
5.96591       	1.497593e-03	1.432849e-04	1.185903e-04
5.96705       	1.434231e-03	1.433173e-04	1.184051e-04
5.96818       	1.453223e-03	1.432297e-04	1.183680e-04
5.96932       	1.580228e-03	1.431895e-04	1.182619e-04
5.97045       	1.517519e-03	1.432746e-04	1.181417e-04
5.97159       	1.553569e-03	1.433440e-04	1.179709e-04
5.97273       	1.548176e-03	1.432661e-04	1.177637e-04
5.97386       	1.504489e-03	1.431309e-04	1.176452e-04
5.975         	1.514794e-03	1.429411e-04	1.174101e-04
5.97614       	1.507663e-03	1.427272e-04	1.174264e-04
5.97727       	1.508325e-03	1.426228e-04	1.172147e-04
5.97841       	1.563067e-03	1.425478e-04	1.171246e-04
5.97955       	1.541529e-03	1.423060e-04	1.170288e-04
5.98068       	1.522001e-03	1.421949e-04	1.170034e-04
5.98182       	1.517167e-03	1.420744e-04	1.170245e-04
5.98295       	1.557472e-03	1.422424e-04	1.169516e-04
5.98409       	1.681391e-03	1.422387e-04	1.169539e-04
5.98523       	1.657571e-03	1.422516e-04	1.168154e-04
5.98636       	2.020668e-03	1.422700e-04	1.171100e-04
5.9875        	2.333333e-03	1.434777e-04	1.179554e-04
5.98864       	2.318285e-03	1.453909e-04	1.192570e-04
5.98977       	1.691233e-03	1.470048e-04	1.198342e-04
5.99091       	1.593281e-03	1.467359e-04	1.196220e-04
5.99205       	1.531838e-03	1.459740e-04	1.191647e-04
