# Residuals   
# Time        	p             	Ux            	Uy            
16.1          	N/A	N/A
16.1067       	1.848583e-01	9.209720e-04	1.699188e-03
16.1133       	1.657486e-01	1.766427e-03	2.150255e-03
16.12         	3.397020e-02	7.878739e-04	7.993558e-04
16.1267       	2.411400e-02	7.668678e-04	9.423223e-04
16.1333       	1.936169e-02	7.286181e-04	8.316400e-04
16.14         	1.847482e-02	7.211116e-04	8.537844e-04
16.1467       	1.764946e-02	7.152297e-04	8.955701e-04
16.1533       	1.983464e-02	7.128069e-04	9.091358e-04
16.16         	1.896623e-02	7.064974e-04	8.476372e-04
16.1667       	1.754908e-02	7.109695e-04	8.634288e-04
16.1733       	1.894273e-02	7.127491e-04	8.655797e-04
16.18         	1.779360e-02	7.112172e-04	8.844462e-04
16.1867       	1.878630e-02	7.092333e-04	8.724951e-04
16.1933       	1.849654e-02	7.155374e-04	8.749842e-04
16.2          	2.155318e-02	7.263660e-04	9.150324e-04
16.2067       	2.123668e-02	7.387024e-04	9.440068e-04
16.2133       	2.239845e-02	7.256627e-04	9.257845e-04
16.22         	2.120140e-02	7.199015e-04	9.173915e-04
16.2267       	2.293474e-02	7.032782e-04	8.992063e-04
16.2333       	2.125689e-02	7.027592e-04	9.031090e-04
16.24         	1.974369e-02	6.999746e-04	9.254203e-04
16.2467       	2.042839e-02	6.966232e-04	9.720718e-04
16.2533       	2.000002e-02	7.060769e-04	9.368455e-04
16.26         	1.961622e-02	7.056986e-04	9.651741e-04
16.2667       	2.052820e-02	7.193384e-04	9.862059e-04
16.2733       	2.268942e-02	7.192425e-04	9.901149e-04
16.28         	2.012029e-02	7.176944e-04	9.549111e-04
16.2867       	2.004004e-02	7.002957e-04	9.808563e-04
16.2933       	2.071574e-02	7.055366e-04	1.036990e-03
16.3          	2.196776e-02	7.021248e-04	1.084449e-03
16.3067       	2.079713e-02	7.269599e-04	9.933028e-04
16.3133       	2.070088e-02	7.268637e-04	1.028321e-03
16.32         	2.357886e-02	7.422413e-04	1.067389e-03
16.3267       	2.436817e-02	7.434896e-04	1.090699e-03
16.3333       	2.327520e-02	7.538764e-04	1.071304e-03
16.34         	2.288546e-02	7.459269e-04	1.137774e-03
16.3467       	2.367310e-02	7.543804e-04	1.129833e-03
16.3533       	2.244677e-02	7.542879e-04	1.150550e-03
16.36         	2.226133e-02	7.602710e-04	1.111921e-03
16.3667       	2.190830e-02	7.679482e-04	1.128697e-03
16.3733       	2.460020e-02	7.789252e-04	1.153888e-03
16.38         	2.408039e-02	7.746687e-04	1.184180e-03
16.3867       	2.456457e-02	7.753830e-04	1.194596e-03
16.3933       	2.568647e-02	7.897390e-04	1.242591e-03
16.4          	2.567867e-02	7.945421e-04	1.138865e-03
16.4067       	2.387927e-02	7.838935e-04	1.183308e-03
16.4133       	2.469777e-02	7.752322e-04	1.263462e-03
16.42         	2.575742e-02	7.879590e-04	1.283637e-03
16.4267       	2.743085e-02	7.901679e-04	1.338595e-03
16.4333       	2.787506e-02	7.906850e-04	1.403197e-03
16.44         	2.581193e-02	7.874616e-04	1.169251e-03
16.4467       	2.493992e-02	7.828447e-04	1.195333e-03
16.4533       	2.474736e-02	7.859762e-04	1.335606e-03
16.46         	2.692861e-02	8.063026e-04	1.347672e-03
16.4667       	2.746936e-02	8.054824e-04	1.329749e-03
16.4733       	2.944145e-02	8.172698e-04	1.359281e-03
16.48         	2.655329e-02	8.168199e-04	1.165208e-03
16.4867       	2.521092e-02	8.136941e-04	1.180429e-03
16.4933       	2.581622e-02	8.056176e-04	1.275952e-03
16.5          	2.652094e-02	8.059053e-04	1.297586e-03
16.5067       	2.793034e-02	8.073693e-04	1.300931e-03
16.5133       	2.708889e-02	8.136114e-04	1.297177e-03
16.52         	2.831740e-02	8.151689e-04	1.141632e-03
16.5267       	2.764920e-02	8.182035e-04	1.149434e-03
