# Residuals   
# Time        	p             	Ux            	Uy            
20            	N/A	N/A
20.0063       	1.959986e-01	1.036451e-03	1.581817e-03
20.0125       	1.571722e-01	1.650884e-03	2.947963e-03
20.0188       	4.210287e-02	8.771121e-04	1.426606e-03
20.025        	3.359734e-02	8.614937e-04	2.339404e-03
20.0313       	2.960467e-02	8.391236e-04	1.379949e-03
20.0375       	2.483794e-02	8.483532e-04	1.547628e-03
20.0438       	2.677544e-02	8.345708e-04	1.813241e-03
20.05         	2.787211e-02	8.834921e-04	2.057085e-03
20.0563       	2.979982e-02	8.712747e-04	1.720972e-03
20.0625       	2.879904e-02	9.095552e-04	1.789666e-03
20.0688       	2.930554e-02	8.917140e-04	2.127218e-03
20.075        	3.384087e-02	9.878123e-04	2.423854e-03
20.0813       	3.115589e-02	9.504018e-04	1.862366e-03
20.0875       	2.711011e-02	1.026587e-03	1.726315e-03
20.0938       	2.889633e-02	9.838413e-04	1.977648e-03
20.1          	3.314193e-02	1.058978e-03	2.315183e-03
20.1063       	3.316510e-02	1.033429e-03	2.268223e-03
20.1125       	3.462195e-02	1.100018e-03	2.477523e-03
20.1188       	3.816612e-02	1.069459e-03	2.759491e-03
20.125        	4.133261e-02	1.167923e-03	3.187382e-03
20.1313       	3.980160e-02	1.141060e-03	2.611409e-03
20.1375       	4.019332e-02	1.203959e-03	2.521210e-03
20.1438       	3.724732e-02	1.174576e-03	2.289094e-03
20.15         	3.579894e-02	1.250150e-03	2.426657e-03
20.1563       	3.912555e-02	1.217081e-03	2.770407e-03
20.1625       	4.233645e-02	1.302857e-03	3.388097e-03
20.1688       	4.515597e-02	1.282069e-03	3.072419e-03
20.175        	4.548535e-02	1.377113e-03	3.391789e-03
20.1813       	4.451876e-02	1.345276e-03	2.824316e-03
20.1875       	3.894404e-02	1.422475e-03	2.667621e-03
20.1938       	3.674450e-02	1.381662e-03	2.335051e-03
20.2          	3.408174e-02	1.454243e-03	2.180642e-03
20.2063       	3.299444e-02	1.412023e-03	2.027963e-03
20.2125       	3.165260e-02	1.476797e-03	1.985918e-03
20.2188       	3.175481e-02	1.424199e-03	1.835914e-03
20.225        	3.060844e-02	1.491410e-03	1.928989e-03
20.2313       	2.990367e-02	1.443133e-03	1.817465e-03
20.2375       	3.097434e-02	1.513936e-03	1.979193e-03
20.2438       	3.247028e-02	1.467616e-03	2.132040e-03
20.25         	3.438807e-02	1.536992e-03	2.342888e-03
20.2563       	3.566635e-02	1.489851e-03	2.223882e-03
20.2625       	3.628461e-02	1.579258e-03	2.378936e-03
20.2688       	3.519765e-02	1.538806e-03	2.151237e-03
20.275        	3.375179e-02	1.616147e-03	2.258468e-03
20.2812       	3.621432e-02	1.558488e-03	2.448776e-03
20.2875       	3.915033e-02	1.663285e-03	2.786017e-03
20.2937       	3.980812e-02	1.614558e-03	2.685567e-03
20.3          	4.174851e-02	1.700848e-03	2.943895e-03
20.3063       	4.008160e-02	1.642675e-03	2.688476e-03
20.3125       	3.985867e-02	1.743047e-03	2.880472e-03
20.3188       	4.065322e-02	1.680914e-03	2.729075e-03
20.325        	4.153091e-02	1.786677e-03	3.000689e-03
20.3313       	4.407102e-02	1.738599e-03	2.877620e-03
20.3375       	4.752699e-02	1.861532e-03	3.278927e-03
20.3438       	4.734299e-02	1.778010e-03	3.153739e-03
20.35         	4.751407e-02	1.910821e-03	3.650966e-03
20.3563       	4.961160e-02	1.816044e-03	3.470049e-03
20.3625       	5.035195e-02	1.939906e-03	3.918058e-03
20.3688       	5.005530e-02	1.849830e-03	3.444700e-03
20.375        	5.015764e-02	1.974479e-03	3.666761e-03
20.3813       	4.949871e-02	1.877591e-03	3.087356e-03
20.3875       	4.418583e-02	1.989659e-03	3.042471e-03
20.3938       	4.071398e-02	1.890985e-03	2.692632e-03
20.4          	3.980729e-02	2.008033e-03	2.628844e-03
20.4062       	3.762644e-02	1.907680e-03	2.241059e-03
20.4125       	3.508102e-02	2.008271e-03	2.168645e-03
20.4188       	3.469313e-02	1.907901e-03	1.954658e-03
20.425        	3.206237e-02	1.998789e-03	2.018889e-03
20.4313       	3.164704e-02	1.906571e-03	1.846005e-03
20.4375       	3.176674e-02	1.995266e-03	1.967064e-03
20.4438       	3.246136e-02	1.915484e-03	1.976527e-03
20.45         	3.539001e-02	2.019943e-03	2.215795e-03
20.4563       	3.654107e-02	1.953270e-03	2.121282e-03
20.4625       	3.738299e-02	2.056182e-03	2.451919e-03
20.4688       	3.973806e-02	1.962329e-03	2.567744e-03
20.475        	4.104769e-02	2.104211e-03	2.870469e-03
20.4813       	4.016480e-02	2.021021e-03	2.391987e-03
20.4875       	3.759594e-02	2.107837e-03	2.349598e-03
20.4937       	3.615561e-02	2.011722e-03	2.268624e-03
20.5          	3.923508e-02	2.149179e-03	2.537531e-03
20.5063       	4.007596e-02	2.055353e-03	2.634166e-03
20.5125       	4.235389e-02	2.164787e-03	3.031948e-03
20.5188       	4.516050e-02	2.071840e-03	2.911939e-03
20.525        	4.559298e-02	2.222864e-03	3.215560e-03
20.5313       	4.328093e-02	2.116597e-03	2.648359e-03
20.5375       	4.239488e-02	2.219375e-03	2.604484e-03
20.5438       	3.997951e-02	2.119499e-03	2.334680e-03
20.55         	4.082932e-02	2.246666e-03	2.526625e-03
20.5563       	4.190957e-02	2.121499e-03	2.659921e-03
20.5625       	4.504638e-02	2.251615e-03	3.142746e-03
20.5688       	4.680361e-02	2.142353e-03	2.975009e-03
20.575        	4.745019e-02	2.277737e-03	3.310658e-03
