# Residuals   
# Time        	p             	Ux            	Uy            
45.5476       	1.659171e-02	1.471009e-03	1.230605e-03
45.5572       	1.710438e-02	1.524493e-03	1.188233e-03
45.5668       	1.650513e-02	1.497440e-03	1.191069e-03
45.5764       	1.577216e-02	1.447714e-03	1.134905e-03
45.5863       	1.679728e-02	1.442633e-03	1.152617e-03
45.5961       	1.553462e-02	1.438874e-03	1.139339e-03
45.606        	1.710337e-02	1.440759e-03	1.235250e-03
45.6158       	1.613958e-02	1.423949e-03	1.148663e-03
45.6257       	1.691049e-02	1.423666e-03	1.176457e-03
45.6355       	1.707762e-02	1.427797e-03	1.173057e-03
45.6457       	1.911389e-02	1.473202e-03	1.196551e-03
45.6558       	1.881166e-02	1.470964e-03	1.197256e-03
45.6659       	1.815281e-02	1.469659e-03	1.272675e-03
45.676        	1.783270e-02	1.474478e-03	1.209841e-03
45.6862       	1.771570e-02	1.467930e-03	1.203771e-03
45.6966       	1.879495e-02	1.522414e-03	1.229316e-03
45.7071       	1.862964e-02	1.510081e-03	1.297082e-03
45.7175       	1.730496e-02	1.505225e-03	1.308407e-03
45.728        	1.825289e-02	1.510831e-03	1.272670e-03
45.7385       	1.695238e-02	1.491169e-03	1.192089e-03
45.7489       	1.504426e-02	1.487442e-03	1.207242e-03
45.7594       	1.668509e-02	1.482911e-03	1.181167e-03
45.7698       	1.630706e-02	1.479358e-03	1.183027e-03
45.7803       	1.806955e-02	1.495359e-03	1.177630e-03
45.7908       	1.534287e-02	1.500131e-03	1.233053e-03
45.8012       	1.541155e-02	1.490302e-03	1.236186e-03
45.8117       	1.632085e-02	1.479555e-03	1.181313e-03
45.8222       	1.566835e-02	1.485520e-03	1.216354e-03
45.8326       	1.688757e-02	1.506711e-03	1.240765e-03
45.8431       	1.597933e-02	1.526899e-03	1.197147e-03
45.8535       	1.517861e-02	1.537085e-03	1.219300e-03
45.864        	1.626271e-02	1.534313e-03	1.207389e-03
45.8745       	1.644078e-02	1.545246e-03	1.209813e-03
45.8849       	1.570547e-02	1.560739e-03	1.307812e-03
45.8954       	1.734217e-02	1.578922e-03	1.307811e-03
45.9058       	1.671031e-02	1.595755e-03	1.261965e-03
45.9163       	1.656657e-02	1.615432e-03	1.264148e-03
45.9268       	1.648729e-02	1.622980e-03	1.249903e-03
45.9372       	1.532553e-02	1.620673e-03	1.260957e-03
45.9477       	1.609975e-02	1.629034e-03	1.349938e-03
45.9582       	1.538058e-02	1.631867e-03	1.330330e-03
45.9686       	1.625916e-02	1.637393e-03	1.276052e-03
45.9791       	1.710648e-02	1.644223e-03	1.283080e-03
45.9895       	1.781935e-02	1.650680e-03	1.297974e-03
46            	1.836457e-02	1.648838e-03	1.328980e-03
46.0109       	2.117096e-02	1.708783e-03	1.378522e-03
46.0215       	2.276967e-02	1.671153e-03	1.395359e-03
46.0321       	2.053772e-02	1.680141e-03	1.409640e-03
46.0425       	2.035361e-02	1.654285e-03	1.263403e-03
46.0529       	2.032800e-02	1.666824e-03	1.412146e-03
46.0631       	1.957571e-02	1.639902e-03	1.391767e-03
46.073        	1.911641e-02	1.614098e-03	1.254050e-03
46.083        	2.054185e-02	1.616254e-03	1.391308e-03
46.0926       	2.348759e-02	1.567044e-03	1.253806e-03
46.1023       	2.023004e-02	1.548316e-03	1.348746e-03
46.1118       	1.989880e-02	1.497666e-03	1.224971e-03
46.1213       	2.461948e-02	1.519867e-03	1.319780e-03
46.1308       	1.843602e-02	1.527345e-03	1.236096e-03
46.1402       	1.724390e-02	1.512571e-03	1.268281e-03
46.1497       	1.699707e-02	1.492968e-03	1.213533e-03
46.1592       	1.736387e-02	1.478800e-03	1.194732e-03
46.1686       	1.694368e-02	1.475503e-03	1.182253e-03
46.1781       	2.185826e-02	1.450238e-03	1.205553e-03
46.1876       	1.942154e-02	1.449011e-03	1.222237e-03
