# Residuals   
# Time        	p             	Ux            	Uy            
16            	N/A	N/A
16.0102       	1.616781e-01	1.688806e-03	2.947045e-03
16.0204       	1.348758e-01	2.641488e-03	2.984940e-03
16.0306       	2.535474e-02	1.505194e-03	1.730307e-03
16.0408       	2.009615e-02	1.474780e-03	1.730558e-03
16.051        	1.755635e-02	1.467374e-03	1.667426e-03
16.0612       	1.535939e-02	1.445813e-03	1.653949e-03
16.0714       	1.487916e-02	1.404367e-03	1.612233e-03
16.0816       	1.556132e-02	1.392484e-03	1.618949e-03
16.0918       	1.599160e-02	1.389884e-03	1.606134e-03
16.102        	1.413608e-02	1.374634e-03	1.606081e-03
16.1122       	1.372932e-02	1.355103e-03	1.606105e-03
16.1222       	1.601571e-02	1.309406e-03	1.576832e-03
16.1321       	1.488544e-02	1.322727e-03	1.592701e-03
16.1421       	1.495444e-02	1.311631e-03	1.563237e-03
16.152        	1.398902e-02	1.306382e-03	1.561100e-03
16.1617       	1.681622e-02	1.271633e-03	1.517566e-03
16.1713       	1.553749e-02	1.282968e-03	1.540872e-03
16.181        	1.449526e-02	1.267161e-03	1.507052e-03
16.1907       	1.421605e-02	1.273877e-03	1.520651e-03
16.2003       	1.385467e-02	1.292330e-03	1.513312e-03
16.21         	1.479267e-02	1.306952e-03	1.505822e-03
16.2197       	1.400131e-02	1.324848e-03	1.495760e-03
16.2293       	1.280564e-02	1.327603e-03	1.490752e-03
16.239        	1.466517e-02	1.320478e-03	1.487028e-03
16.2487       	1.304464e-02	1.319802e-03	1.474781e-03
16.2583       	1.302263e-02	1.320621e-03	1.469026e-03
16.268        	1.311921e-02	1.324770e-03	1.478289e-03
16.2777       	1.324972e-02	1.315442e-03	1.476131e-03
16.2878       	1.892139e-02	1.396570e-03	1.537292e-03
16.2979       	1.667842e-02	1.405253e-03	1.576859e-03
16.308        	1.606690e-02	1.384448e-03	1.562681e-03
16.3181       	1.519565e-02	1.393462e-03	1.563702e-03
16.3282       	1.407266e-02	1.405710e-03	1.542554e-03
16.3383       	1.410376e-02	1.407872e-03	1.533008e-03
16.3484       	1.344899e-02	1.399435e-03	1.509116e-03
16.3585       	1.370857e-02	1.396117e-03	1.492037e-03
16.3686       	1.376700e-02	1.401311e-03	1.487409e-03
16.3787       	1.331904e-02	1.407770e-03	1.491282e-03
16.3888       	1.255862e-02	1.404652e-03	1.496033e-03
16.3989       	1.263299e-02	1.407438e-03	1.489601e-03
16.409        	1.327357e-02	1.410956e-03	1.482749e-03
16.4192       	1.219408e-02	1.403834e-03	1.474893e-03
16.4293       	1.165688e-02	1.403475e-03	1.460418e-03
16.4394       	1.247912e-02	1.400667e-03	1.455984e-03
16.4495       	1.276469e-02	1.392642e-03	1.452999e-03
16.4596       	1.188160e-02	1.389068e-03	1.455463e-03
16.4697       	1.280142e-02	1.385027e-03	1.456144e-03
16.4798       	1.323222e-02	1.397392e-03	1.460575e-03
16.4899       	1.316008e-02	1.399703e-03	1.463478e-03
16.5          	1.338493e-02	1.404954e-03	1.464410e-03
16.5104       	1.584568e-02	1.452122e-03	1.525040e-03
16.5208       	1.610672e-02	1.455227e-03	1.566004e-03
16.5313       	1.527620e-02	1.453115e-03	1.559119e-03
16.5417       	1.577757e-02	1.461423e-03	1.577182e-03
16.5521       	1.680569e-02	1.463057e-03	1.594792e-03
16.5627       	1.592562e-02	1.506490e-03	1.639449e-03
16.5734       	1.659737e-02	1.506140e-03	1.690496e-03
16.5841       	1.546297e-02	1.506760e-03	1.684543e-03
16.5945       	1.750535e-02	1.473068e-03	1.662515e-03
16.6049       	1.552372e-02	1.481182e-03	1.666896e-03
16.6153       	1.463386e-02	1.487765e-03	1.656139e-03
16.6257       	1.445700e-02	1.501145e-03	1.651178e-03
16.6361       	1.530849e-02	1.488010e-03	1.617717e-03
16.6465       	1.517374e-02	1.483962e-03	1.596795e-03
16.6569       	1.508599e-02	1.478380e-03	1.584820e-03
16.667        	1.792230e-02	1.423326e-03	1.555319e-03
16.677        	1.701263e-02	1.446257e-03	1.604321e-03
16.6871       	1.535972e-02	1.437797e-03	1.601213e-03
16.6972       	1.513997e-02	1.440584e-03	1.619321e-03
16.7073       	1.375563e-02	1.434522e-03	1.593718e-03
16.7171       	1.719920e-02	1.397363e-03	1.552726e-03
