# Residuals   
# Time        	p             	Ux            	Uy            
77.5          	N/A	N/A
77.5079       	1.465793e-01	1.235758e-03	1.329715e-03
77.5159       	1.066669e-01	1.978587e-03	4.713224e-03
77.5238       	3.050580e-02	1.295640e-03	2.593254e-03
77.5319       	3.124564e-02	1.286197e-03	4.697423e-03
77.54         	3.084868e-02	1.291222e-03	4.583858e-03
77.548        	3.284028e-02	1.276050e-03	5.304551e-03
77.5561       	3.609987e-02	1.279063e-03	6.097513e-03
77.5642       	3.578077e-02	1.273828e-03	5.912652e-03
77.5722       	3.802110e-02	1.281127e-03	6.962351e-03
77.5803       	3.797599e-02	1.283938e-03	6.261320e-03
77.5884       	3.855862e-02	1.298810e-03	7.068580e-03
77.5964       	3.878725e-02	1.299439e-03	6.354271e-03
77.6045       	3.793304e-02	1.310097e-03	7.074886e-03
77.6126       	3.893810e-02	1.308612e-03	6.336016e-03
77.6207       	3.786169e-02	1.322925e-03	7.048602e-03
77.6289       	3.891315e-02	1.338256e-03	6.280818e-03
77.6372       	3.760125e-02	1.345853e-03	7.014481e-03
77.6454       	3.634562e-02	1.323299e-03	6.126354e-03
77.6536       	3.553706e-02	1.325131e-03	6.528777e-03
77.6619       	3.614233e-02	1.315019e-03	5.873460e-03
77.6701       	3.453134e-02	1.331894e-03	6.452859e-03
77.6784       	3.466696e-02	1.308085e-03	5.643914e-03
77.6866       	3.509194e-02	1.314322e-03	6.207144e-03
77.6949       	3.577299e-02	1.294263e-03	5.442608e-03
77.7034       	3.421135e-02	1.338701e-03	5.991271e-03
77.7118       	3.264523e-02	1.329268e-03	5.437730e-03
77.7203       	3.160568e-02	1.338982e-03	5.766964e-03
77.7288       	2.994707e-02	1.320473e-03	5.135892e-03
77.7373       	2.942647e-02	1.318182e-03	5.366977e-03
77.7457       	2.928961e-02	1.294764e-03	4.833658e-03
77.7542       	2.817758e-02	1.315446e-03	5.217754e-03
77.7627       	2.762134e-02	1.295997e-03	4.638499e-03
77.7712       	2.727421e-02	1.299670e-03	5.023023e-03
77.7796       	2.691792e-02	1.277419e-03	4.513832e-03
77.7881       	2.646257e-02	1.289266e-03	4.896448e-03
77.7966       	2.673732e-02	1.261687e-03	4.440549e-03
77.8051       	2.637067e-02	1.277448e-03	4.826952e-03
77.8135       	2.630094e-02	1.251088e-03	4.375961e-03
77.822        	2.653615e-02	1.264337e-03	4.762371e-03
77.8305       	2.518862e-02	1.247595e-03	4.331265e-03
77.8386       	3.192493e-02	1.220332e-03	4.744873e-03
77.8466       	2.796179e-02	1.217675e-03	4.215179e-03
77.8547       	2.703955e-02	1.226532e-03	5.031200e-03
77.8628       	2.949587e-02	1.214874e-03	4.745151e-03
77.8708       	2.972350e-02	1.245276e-03	5.832850e-03
77.8789       	3.220930e-02	1.221060e-03	5.144770e-03
77.887        	3.117101e-02	1.252161e-03	6.078395e-03
77.8951       	3.175120e-02	1.236927e-03	5.308275e-03
77.9031       	3.033684e-02	1.265163e-03	5.941032e-03
77.9112       	2.958006e-02	1.247988e-03	5.315205e-03
77.9193       	3.001197e-02	1.268326e-03	6.021308e-03
77.9274       	3.027504e-02	1.255232e-03	5.286819e-03
77.9354       	3.061886e-02	1.273373e-03	6.003680e-03
77.9435       	3.025870e-02	1.260079e-03	5.245899e-03
77.9516       	2.981722e-02	1.280568e-03	6.027688e-03
77.9596       	2.894969e-02	1.263865e-03	5.260750e-03
77.9677       	2.948576e-02	1.273553e-03	6.072398e-03
77.9758       	2.942108e-02	1.261606e-03	5.289669e-03
77.9839       	2.923927e-02	1.274083e-03	5.974134e-03
77.9919       	2.951647e-02	1.248185e-03	5.237818e-03
78            	3.033061e-02	1.269844e-03	5.820681e-03
78.0085       	3.610080e-02	1.308773e-03	5.209301e-03
78.0169       	3.518713e-02	1.363582e-03	5.767292e-03
78.0254       	3.269428e-02	1.301343e-03	5.042891e-03
78.0339       	3.080855e-02	1.317120e-03	5.023424e-03
78.0424       	3.017202e-02	1.272464e-03	4.743789e-03
78.0508       	2.938427e-02	1.298566e-03	4.996045e-03
78.0593       	2.765472e-02	1.267939e-03	4.649359e-03
78.0678       	2.795274e-02	1.297215e-03	5.048433e-03
78.0763       	2.812657e-02	1.276619e-03	4.698741e-03
78.0847       	2.695669e-02	1.307650e-03	5.197743e-03
78.0932       	2.711893e-02	1.274092e-03	4.893320e-03
78.1017       	2.876480e-02	1.294114e-03	5.462937e-03
78.1102       	3.065956e-02	1.312941e-03	5.102458e-03
78.1186       	2.950269e-02	1.327818e-03	5.748362e-03
78.1271       	2.640176e-02	1.287909e-03	5.220836e-03
78.1356       	2.680959e-02	1.312232e-03	5.788442e-03
78.1441       	2.741159e-02	1.288976e-03	5.252152e-03
78.1525       	2.761719e-02	1.304319e-03	5.788295e-03
78.1612       	2.831327e-02	1.311477e-03	5.263646e-03
78.1699       	2.873935e-02	1.328895e-03	5.814427e-03
78.1786       	2.724677e-02	1.334706e-03	5.184775e-03
78.1873       	2.532970e-02	1.344267e-03	5.400394e-03
78.196        	2.558731e-02	1.317346e-03	4.991045e-03
78.2047       	2.779452e-02	1.350550e-03	5.376080e-03
78.2133       	2.567035e-02	1.331255e-03	4.879066e-03
78.222        	2.460119e-02	1.337964e-03	5.302122e-03
78.2307       	2.573482e-02	1.334506e-03	4.821055e-03
78.2394       	2.411807e-02	1.338320e-03	5.226242e-03
78.2481       	2.406869e-02	1.313539e-03	4.774580e-03
78.2568       	2.513862e-02	1.315503e-03	5.179176e-03
78.2655       	2.434594e-02	1.306328e-03	4.734982e-03
78.2742       	2.552743e-02	1.322468e-03	5.138135e-03
78.2828       	2.718984e-02	1.327174e-03	4.731754e-03
78.2915       	2.459184e-02	1.345976e-03	5.146713e-03
78.3002       	2.387942e-02	1.317501e-03	4.723061e-03
78.3089       	2.310460e-02	1.322282e-03	5.124652e-03
78.3176       	2.259729e-02	1.305893e-03	4.697682e-03
78.3263       	2.259347e-02	1.316257e-03	5.103833e-03
78.335        	2.346712e-02	1.302804e-03	4.699903e-03
78.3436       	2.456174e-02	1.322431e-03	5.122041e-03
78.3523       	2.680619e-02	1.313441e-03	4.719023e-03
78.361        	2.542960e-02	1.330978e-03	5.125472e-03
78.3697       	2.425312e-02	1.310207e-03	4.702675e-03
78.3784       	2.499363e-02	1.321574e-03	5.106639e-03
78.3871       	2.626235e-02	1.319822e-03	4.693023e-03
78.3958       	2.556379e-02	1.318492e-03	5.106856e-03
78.4044       	2.462333e-02	1.302322e-03	4.694374e-03
78.4131       	2.476564e-02	1.316558e-03	5.106243e-03
78.4218       	2.291399e-02	1.306630e-03	4.694788e-03
78.4305       	2.815121e-02	1.331018e-03	5.115103e-03
78.4392       	2.766880e-02	1.279056e-03	4.716696e-03
78.4479       	2.479507e-02	1.290796e-03	5.119968e-03
78.4566       	2.418359e-02	1.276518e-03	4.701397e-03
78.4653       	2.307646e-02	1.281850e-03	5.108348e-03
78.4739       	2.530353e-02	1.264019e-03	4.707199e-03
78.4826       	2.444194e-02	1.292398e-03	5.121015e-03
78.4913       	2.406795e-02	1.275651e-03	4.696653e-03
78.5          	2.787745e-02	1.287635e-03	5.132263e-03
78.5091       	3.156474e-02	1.349520e-03	4.739570e-03
78.5182       	3.024323e-02	1.404924e-03	5.175341e-03
78.5273       	2.883495e-02	1.310031e-03	4.657045e-03
